vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
B801BEU,30608127,GAB004_F_Gaborone Center_Mogoditshane Route 4,Bob,Gaborone,12/11/2020,"25.902830, -24.657621","25.900301, -24.660454",0.64,11:06:07,0:46,50,0,5,5,10,0,Gaborone,GAB004,F,Gaborone Center,Mogoditshane Route 4,11:00:00,46,0.834782609,11,off peak,B 801 BEU,Mini-bus
B546BIW,30609653,GAB005_F_Gaborone Center_Mogoditshane Route 5,Demo User,Gaborone,12/11/2020,"25.939671, -24.609617","25.848736, -24.622118",17.29,10:58:06,1:15,120,0,5,26,24,0,Gaborone,GAB005,F,Gaborone Center,Mogoditshane Route 5,11:00:00,75,13.832,10,peak,B 546 BIW,Mini-bus
B115BBH,30610990,GAB002_F_Gaborone Center_Block 10,Demo User,Gaborone,12/11/2020,"25.902746, -24.658575","25.903522, -24.658592",29.75,10:53:37,1:26,265,0,5,5,53,0,Gaborone,GAB002,F,Gaborone Center,Block 10,11:00:00,86,20.75581395,10,peak,B 115 BBH,Mini-bus
B541BIL,30612653,GAB003_F_Gaborone Center_Thlowkeng Route 4,Bob,Gaborone,12/11/2020,"25.904171, -24.663132","25.980627, -24.663015",14.18,12:38:42,0:31,15,0,5,11,3,0,Gaborone,GAB003,F,Gaborone Center,Thlowkeng Route 4,12:45:00,31,27.44516129,12,off peak,B 541 BIL,Mini-bus
B541BIL,30612997,GAB003_F_Gaborone Center_Thlowkeng Route 4,Bob,Gaborone,12/11/2020,"25.978163, -24.658295","25.904003, -24.663721",10.35,13:14:35,0:27,55,-4,5,11,11,0,Gaborone,GAB003,F,Gaborone Center,Thlowkeng Route 4,13:15:00,27,23,13,off peak,B 541 BIL,Mini-bus
B546BIW,30615086,GAB005_F_Gaborone Center_Mogoditshane Route 5,Demo User,Gaborone,12/11/2020,"25.848787, -24.622261","25.937019, -24.609535",16.74,14:44:21,1:00,115,0,5,23,23,0,Gaborone,GAB005,F,Gaborone Center,Mogoditshane Route 5,14:45:00,60,16.74,14,off peak,B 546 BIW,Mini-bus
B297AZO,30615330,BLOCK 8,Demo User,Gaborone,12/11/2020,"25.902056, -24.658712","25.908731, -24.641388",3.18,9:35:21,0:05,285,14,5,8,57,0,Gaborone,BLOCK 8,0,0,0,9:30:00,5,38.16,9,peak,B 297 AZO,Mini-bus
B297AZO,30615373,BLOCK 8,Demo User,Gobarane,12/11/2020,"25.916702, -24.603180","25.915962, -24.601034",0.25,10:39:09,0:00,0,0,0,1,0,0,Gaborone,BLOCK 8,0,0,0,10:45:00,0,0,10,peak,B 297 AZO,Mini-bus
B297AZO,30615472,BLOCK 8,Demo User,Gaborone,12/11/2020,"25.911228, -24.642441","25.914164, -24.628557",2.16,9:43:06,0:08,85,12,5,4,17,0,Gaborone,BLOCK 8,0,0,0,9:45:00,8,16.2,9,peak,B 297 AZO,Mini-bus
B297AZO,30615716,BLOCK 8,Demo User,Gaborone,12/11/2020,"25.917860, -24.613371","25.916864, -24.605116",6.13,9:59:11,0:20,90,0,5,12,18,0,Gaborone,BLOCK 8,0,0,0,10:00:00,20,18.39,9,peak,B 297 AZO,Mini-bus
B297AZO,30615817,BLOCK 8,Demo User,Gobarane,12/11/2020,"25.915558, -24.599964","25.913296, -24.596418",0.99,10:41:27,0:00,0,0,0,1,0,0,Gaborone,BLOCK 8,0,0,0,10:45:00,0,0,10,peak,B 297 AZO,Mini-bus
B546BIW,30615945,GAB005_F_Gaborone Center_Mogoditshane Route 5,Demo User,Gaborone,12/11/2020,"25.881153, -24.617107","25.860971, -24.623075",2.3,16:28:31,0:00,55,11,5,3,11,0,Gaborone,GAB005,F,Gaborone Center,Mogoditshane Route 5,16:30:00,0,0,16,peak,B 546 BIW,Mini-bus
B858BGE,30618945,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/11/2020,"25.901928, -24.658865","25.901928, -24.658865",0,16:49:03,0:07,115,0,5,7,23,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,16:45:00,7,0,16,peak,B 858 BGE,Mini-bus
B546BIW,30619101,GAB005_F_Gaborone Center_Mogoditshane Route 5,Demo User,Gaborone,12/11/2020,"25.859051, -24.624746","25.849003, -24.622110",3.68,16:48:08,0:12,45,-9,5,8,9,0,Gaborone,GAB005,F,Gaborone Center,Mogoditshane Route 5,16:45:00,12,18.4,16,peak,B 546 BIW,Mini-bus
